民主;mínzhǔ;democracy
掐;qiā;pick (flowers), pinch, clutch
打包;dǎbāo;get a doggy bag (at a restaurant), pack up
地步;dìbù;condition, plight, extent
保卫;bǎowèi;defend, to safeguard
防御;fángyù;defense, resist, to guard
撤销;chèxiāo;repeal
妄想;wàngxiǎng;vainly hope, wishful thinking, delusion
命名;mìngmíng;give a name, to dub, christen, naming
事务;shìwù;affairs, work
解放;jiěfàng;liberate
司法;sīfǎ;judicial, (administration of) justice
谣言;yáoyán;rumor
版本;bǎnběn;edition
报酬;bàochou;reward, remuneration
动静;dòngjìng;sound of activity, activity
着想;zhuóxiǎng;give consideration to, consider (other people's) needs
人性;rénxìng;human nature, humanity
丧失;sàngshī;to lose, to forfeit
铺;pù, pū;bed, store | to spread, to lay
辐射;fúshè;radiation
粗鲁;cūlǔ;crude, coarse, rough, language
带领;dàilǐng;to guide, to lead
挪;nuó;shift, move
迫不及待;pòbùjídài;be too impatient to wait
潜水;qiánshuǐ;go diving
光荣;guāngróng;glory, honor
违背;wéibèi;violate, go against
挨;āi, ái;get close to, in sequence | to suffer
遗产;yíchǎn;heritage, legacy
瞬间;shùnjiān;in the twinkling of an eye, in an instant, momentary
正经;zhèngjing;decent, serious, standard, really
圈套;quāntào;trap
看待;kàndài;look upon, regard
惊奇;jīngqí;amaze, astonished
人格;réngé;personality, moral integrity, character
珍贵;zhēnguì;precious
思维;sīwéi;(line) of thought, thinking
先进;xiānjìn;advanced (technology), to advance
级别;jíbié;rank, level, grade
竞赛;jìngsài;race, contest, competition
真理;zhēnlǐ;truth
垫;diàn;cushion, to pad, pay for somebody and expect to be repaid
革命;gémìng;revolution, revolutionary (politics), cause great social change, rise in revolt, take part in revolution
引导;yǐndǎo;to guide, to conduct, introduction
岩石;yánshí;rock, stone
迷惑;míhuò;to puzzle, confuse, mystify
干涉;gānshè;interfere, intervene, meddle
学位;xuéwèi;academic degree, educational level
嫌;xián;to dislike, suspicion, grudge
嫌疑;xiányí;suspicion, (be) suspected (of)
交叉;jiāochā;cross, intersect, overlap
纳闷儿;nà mènr;feel puzzled, bewildered
元首;yuánshǒu;head of state
人间;rénjiān;man's world, the world
本能;běnnéng;instinct
修复;xiūfù;restoration, repair
认定;rèndìng;maintain (that sth. is true), firmly believe
拳头;quántou;fist
抵达;dǐdá;arrive, to reach (a destination), touch down
一流;yīliú;top-grade
悲哀;bēi'āi;grieved, sorrowful, sad
坑;kēng;pit, hole, defraud
发觉;fājué;discover, detect
居住;jūzhù;reside, dwell, to live (in a place)
呈现;chéngxiàn;appear, emerge, present (a certain appearance)
别墅;biéshù;villa
识别;shíbié;identify, distinguish, discern
等候;děnghòu;wait, queue
失误;shīwù;mistake, lapse, miss
和解;héjiě;settlement, to become reconciled
元素;yuánsù;element, element of a set, chemical element
贪婪;tānlán;greedy, avaricious
传达;chuándá;convey, transmit, communicate
镇定;zhèndìng;cool, calm, unperturbed
清晰;qīngxī;clear, distinct, clarity
捏;niē;to pinch (with one's fingers), knead
麻醉;mázuì;anesthesia, to corrupt (someone's mind)
细菌;xìjūn;bacteria, virus, germ
眼光;yǎnguāng;vision
无知;wúzhī;ignorance
仪器;yíqì;apparatus, (scientific) instrument
杰出;jiéchū;outstanding, preeminent
放大;fàngdà;enlarge, amplify
